top, Comp formation
533.8, Sea Bed
533.8, Barracouta Fm
968.0, Oliver Limestone Fm
2443.0, Prion Limestone Fm
2858.0,  Grebe Limestone Fm
2858.0, Heywood Limestone Member
3460.0, Baudin Marl Member
3675.0, Johnson Fm
3919.0, WGFP Fm
4064.0, Jamieson Fm
4577.0, Montara Fm
4585.0, Plover Fm (Top Volcanics)
4776.0, Plover Fm (Top Reservoir)
5075.0, Nome Fm
5329.0, TD
