top, Comp formation
476.3, Sea Bed
476.3, Barracouta Fm
955.8, Oliver Limestone Fm
2432.8, Prion Limestone Fm
3459.4, Johnson Fm
3778.8, Wangarlu Fm
4005.2, Jamieson Fm
4253.0, Plover Fm
4266.0, J-LDM15(seismic marker)
4290.3, JP2 (near C.torosa)
4392.1, JP1 (seismic marker)
4444.0, Traissic 
4685.0, TD
