top, Comp formation
519, Sea Bed
519, Barracouta Fm
1002, Oliver Limestone Fm
2464.7, Prion Limestone Fm
2804, Grebe Limestone Fm
3477, Johnson Fm
3871, WGFP Fm
4067, Jamieson Fm
4627, Vulcan Fm
4627, Montara Fm
4732, Volcanics 
4923, Plover A
5222, Plover C
5356, TD
